Transaction ID,Date,Day Name,Brand,Units Sold,Price Per Unit,Customer Name,Customer Age,City,Payment Method,Customer Ratings,Mobile Model,Month,Year,Revenue
41,2021-10-21,Thursday,Apple,7,65469.66,Pooja Rao,54,Delhi,UPI,5,iPhone 11,October,2021,458287.62
70,2021-10-29,Friday,Apple,4,49253.8,Pooja Reddy,21,Delhi,Cash,5,iPhone 12,October,2021,197015.2
127,2021-11-13,Saturday,Apple,4,45059.18,Kiran Solanki,27,Delhi,Cash,5,iPhone 12,November,2021,180236.72
167,2021-11-25,Thursday,Apple,2,63196.93,Pooja Thakur,36,Delhi,Credit Card,5,iPhone 12,November,2021,126393.86
225,2021-12-12,Sunday,Apple,3,65764.45,Pankaj Shah,18,Delhi,Cash,5,iPhone 11,December,2021,197293.34999999998
275,2021-12-25,Saturday,Apple,6,32412.42,Pooja Joshi,28,Delhi,Debit Card,5,iPhone 12,December,2021,194474.52
278,2021-12-26,Sunday,Apple,2,25400.84,Anita Bhattacharya,25,Delhi,Debit Card,5,iPhone 12,December,2021,50801.68
307,2022-01-04,Tuesday,Apple,6,69566.26,Isha Dutta,55,Delhi,UPI,5,iPhone SE,January,2022,417397.55999999994
429,2022-02-05,Saturday,Apple,4,69023.91,Devendra Mathur,32,Delhi,UPI,5,iPhone SE,February,2022,276095.64
461,2022-02-14,Monday,Apple,2,63025.72,Namita Sheth,21,Delhi,Credit Card,5,iPhone 11,February,2022,126051.44
484,2022-02-21,Monday,Apple,7,39630.95,Shruti Pathak,30,Delhi,Cash,5,iPhone SE,February,2022,277416.64999999997
531,2022-03-07,Monday,Apple,9,44417.67,Vinod Dutta,44,Delhi,UPI,5,iPhone 11,March,2022,399759.02999999997
571,2022-03-19,Saturday,Apple,5,54091.03,Vivek Ghosh,59,Delhi,Credit Card,5,iPhone SE,March,2022,270455.15
586,2022-03-23,Wednesday,Apple,4,38372.76,Ramesh Dutta,56,Delhi,Credit Card,5,iPhone SE,March,2022,153491.04
632,2022-04-06,Wednesday,Apple,4,60996.25,Pooja Dutta,30,Delhi,Cash,5,iPhone SE,April,2022,243985.0
649,2022-04-11,Monday,Apple,8,41363.84,Manoj Jain,31,Delhi,Cash,5,iPhone SE,April,2022,330910.72
676,2022-04-19,Tuesday,Apple,9,51689.65,Lata Patel,28,Delhi,UPI,5,iPhone 12,April,2022,465206.85000000003
694,2022-04-24,Sunday,Apple,9,20644.57,Sneha Arora,34,Delhi,UPI,5,iPhone SE,April,2022,185801.13
708,2022-04-29,Friday,Apple,8,43832.02,Bina Siddiqui,58,Delhi,Debit Card,5,iPhone 12,April,2022,350656.16
730,2022-05-05,Thursday,Apple,1,46160.2,Sunita Mehta,24,Delhi,Cash,5,iPhone 11,May,2022,46160.2
733,2022-05-06,Friday,Apple,4,14856.98,Yogesh Malhotra,49,Delhi,Debit Card,5,iPhone SE,May,2022,59427.92
735,2022-05-06,Friday,Apple,4,66174.42,Sunil Varma,43,Delhi,Debit Card,5,iPhone 12,May,2022,264697.68
883,2022-06-18,Saturday,Apple,8,50151.02,Lalita Siddiqui,51,Delhi,Debit Card,5,iPhone 11,June,2022,401208.16
942,2022-07-05,Tuesday,Apple,3,24040.32,Ayesha Ahuja,38,Delhi,Debit Card,5,iPhone SE,July,2022,72120.95999999999
1034,2022-07-31,Sunday,Apple,4,36007.82,Kavita Bhatnagar,37,Delhi,Cash,5,iPhone 11,July,2022,144031.28
1036,2022-08-01,Monday,Apple,3,66283.23,Kiran Rathod,31,Delhi,Debit Card,5,iPhone SE,August,2022,198849.69
1060,2022-08-08,Monday,Apple,2,61022.62,Ravi Teja,46,Delhi,UPI,5,iPhone SE,August,2022,122045.24
1075,2022-08-12,Friday,Apple,7,33169.36,Vivek Menon,19,Delhi,UPI,5,iPhone 11,August,2022,232185.52000000002
1076,2022-08-12,Friday,Apple,1,67263.81,Priyanka Jain,52,Delhi,UPI,5,iPhone 11,August,2022,67263.81
1093,2022-08-17,Wednesday,Apple,4,69360.44,Pooja Menon,24,Delhi,Debit Card,5,iPhone 12,August,2022,277441.76
1096,2022-08-17,Wednesday,Apple,3,11730.18,Sanjay Patel,43,Delhi,Cash,5,iPhone SE,August,2022,35190.54
1097,2022-08-18,Thursday,Apple,7,30288.4,Anjali Varma,41,Delhi,Credit Card,5,iPhone 12,August,2022,212018.80000000002
1099,2022-08-18,Thursday,Apple,3,25738.3,Meena Desai,57,Delhi,Cash,5,iPhone 11,August,2022,77214.9
1125,2022-08-26,Friday,Apple,1,63739.18,Nikhil Rathod,31,Delhi,Debit Card,5,iPhone SE,August,2022,63739.18
1127,2022-08-27,Saturday,Apple,3,52392.99,Kunal Patel,45,Delhi,UPI,5,iPhone 11,August,2022,157178.97
1173,2022-09-08,Thursday,Apple,7,10170.53,Vijay Siddiqui,40,Delhi,Debit Card,5,iPhone 12,September,2022,71193.71
1181,2022-09-11,Sunday,Apple,7,62496.36,Rohan Thakur,31,Delhi,UPI,5,iPhone SE,September,2022,437474.52
1203,2022-09-17,Saturday,Apple,1,28796.56,Vinod Nair,57,Delhi,Credit Card,5,iPhone SE,September,2022,28796.56
1236,2022-09-27,Tuesday,Apple,2,12084.4,Bhavana Prasad,40,Delhi,UPI,5,iPhone SE,September,2022,24168.8
1273,2022-10-07,Friday,Apple,2,38764.95,Sumit Nambiar,47,Delhi,Cash,5,iPhone 12,October,2022,77529.9
1348,2022-10-28,Friday,Apple,4,27625.71,Neeta Desai,38,Delhi,UPI,5,iPhone SE,October,2022,110502.84
1417,2022-11-17,Thursday,Apple,2,45261.41,Yogesh Luthra,25,Delhi,Cash,5,iPhone 11,November,2022,90522.82
1545,2022-12-22,Thursday,Apple,8,21919.04,Sunil Varma,35,Delhi,Credit Card,5,iPhone SE,December,2022,175352.32
1547,2022-12-23,Friday,Apple,3,69958.98,Sunil Luthra,43,Delhi,Cash,5,iPhone SE,December,2022,209876.94
1582,2023-01-02,Monday,Apple,7,32178.59,Rajesh Chaudhary,20,Delhi,Cash,5,iPhone 12,January,2023,225250.13
1599,2023-01-06,Friday,Apple,9,30727.67,Monika Goyal,59,Delhi,UPI,5,iPhone 11,January,2023,276549.02999999997
1664,2023-01-25,Wednesday,Apple,2,57442.17,Amit Prasad,28,Delhi,Credit Card,5,iPhone SE,January,2023,114884.34
1754,2023-02-20,Monday,Apple,5,29171.29,Lata Kaur,39,Delhi,Debit Card,5,iPhone SE,February,2023,145856.45
1770,2023-02-25,Saturday,Apple,2,39016.54,Krishna Chatterjee,52,Delhi,UPI,5,iPhone SE,February,2023,78033.08
1787,2023-03-02,Thursday,Apple,4,27657.63,Bina Goyal,36,Delhi,Debit Card,5,iPhone 11,March,2023,110630.52
1801,2023-03-06,Monday,Apple,6,60515.84,Priya Dutta,34,Delhi,Credit Card,5,iPhone 11,March,2023,363095.04
1802,2023-03-06,Monday,Apple,7,45005.32,Reena Chatterjee,35,Delhi,Cash,5,iPhone 11,March,2023,315037.24
1904,2023-04-03,Monday,Apple,5,53626.27,Priya Reddy,30,Delhi,Debit Card,5,iPhone SE,April,2023,268131.35
1978,2023-04-24,Monday,Apple,9,41927.96,Pankaj Teja,26,Delhi,Cash,5,iPhone SE,April,2023,377351.64
1981,2023-04-25,Tuesday,Apple,6,17101.25,Ramesh Rao,35,Delhi,UPI,5,iPhone SE,April,2023,102607.5
2102,2023-05-29,Monday,Apple,3,24999.92,Rajesh Shah,58,Delhi,Cash,5,iPhone SE,May,2023,74999.76
2192,2023-06-23,Friday,Apple,8,48072.1,Pooja Arora,51,Delhi,Debit Card,5,iPhone SE,June,2023,384576.8
2235,2023-07-05,Wednesday,Apple,3,29847.7,Sanjay Das,28,Delhi,UPI,5,iPhone 11,July,2023,89543.1
2298,2023-07-23,Sunday,Apple,6,68642.14,Shruti Sharma,59,Delhi,UPI,5,iPhone 12,July,2023,411852.83999999997
2392,2023-08-19,Saturday,Apple,6,10488.77,Vinod Dutta,40,Delhi,Cash,5,iPhone 12,August,2023,62932.62
2512,2023-09-21,Thursday,Apple,3,14153.81,Isha Menon,54,Delhi,Debit Card,5,iPhone 12,September,2023,42461.43
2533,2023-09-27,Wednesday,Apple,8,60321.83,Radha Sheth,35,Delhi,Credit Card,5,iPhone 12,September,2023,482574.64
2557,2023-10-03,Tuesday,Apple,2,35268.15,Rajesh Kulkarni,44,Delhi,Credit Card,5,iPhone 12,October,2023,70536.3
2659,2023-11-02,Thursday,Apple,8,34760.2,Prashant Gupta,20,Delhi,Credit Card,5,iPhone SE,November,2023,278081.6
2695,2023-11-12,Sunday,Apple,3,56744.05,Reena Chatterjee,34,Delhi,Cash,5,iPhone 12,November,2023,170232.15000000002
2730,2023-11-23,Thursday,Apple,9,14193.51,Vinod Srivastava,47,Delhi,Cash,5,iPhone SE,November,2023,127741.59
2738,2023-11-25,Saturday,Apple,7,59229.79,Mala Roy,41,Delhi,Credit Card,5,iPhone SE,November,2023,414608.53
2740,2023-11-26,Sunday,Apple,2,55325.87,Pankaj Singh,29,Delhi,Debit Card,5,iPhone 11,November,2023,110651.74
2764,2023-12-02,Saturday,Apple,6,45074.59,Anjali Kulkarni,37,Delhi,Credit Card,5,iPhone SE,December,2023,270447.54
2824,2023-12-20,Wednesday,Apple,6,41653.82,Harish Mehta,58,Delhi,Cash,5,iPhone SE,December,2023,249922.91999999998
2915,2024-01-16,Tuesday,Apple,7,60221.33,Vivek Nair,57,Delhi,Credit Card,5,iPhone SE,January,2024,421549.31
2937,2024-01-22,Monday,Apple,9,31745.88,Nikhil Solanki,58,Delhi,Cash,5,iPhone SE,January,2024,285712.92
3093,2024-03-08,Friday,Apple,2,69422.45,Vivek Alva,43,Delhi,Cash,5,iPhone 12,March,2024,138844.9
3334,2024-05-17,Friday,Apple,5,13454.31,Arun Mehta,34,Delhi,Debit Card,5,iPhone 12,May,2024,67271.55
